th01,th02,th03,th11,th12,th13,th21,th22,th23,th31,th32,th33,th41,th42,th43,?
1.24145444300329,-0.44187178086239914,-8.538369390615436,0.8506729521220107,-0.07749015097396607,18.045433476225938,-1.0838103869302977,-1.8760331935295356,11.327797652272862,0.5763107773652371,0.8578902723021952,18.098388864092865,0.6141002537498051,-1.1918455967248294,2.3692052013162828,
1.2359326382621525,-0.441676150392729,-8.53876985985225,0.8507958844511645,-0.08236317760739072,18.062899749485563,-1.084089179566614,-1.8709480459104848,11.323385914138843,0.572985344677931,0.8673730356965,18.088449730791883,0.6079027756774233,-1.1971811289925942,2.3631395089925156,
1.2303877642861878,-0.4414414645636616,-8.53917239480226,0.850809103725114,-0.08729538427189794,18.080438264265226,-1.0843702446095718,-1.8658213442451341,11.318952736947645,0.5696771501528716,0.8767701415227728,18.07861967548716,0.6016917400863275,-1.2024653404652008,2.3570731173784076,
1.2248197663547535,-0.44116731777968876,-8.539576892741776,0.8507096596531759,-0.0922840508215292,18.098049140755627,-1.0846540243774896,-1.8606526049062533,11.31449792205364,0.5663866809349941,0.8860829726703302,18.068895544846534,0.59546763956046,-1.2076979409506512,2.3510058792007715,
1.2192285854858032,-0.44085330183934235,-8.539983246023173,0.8504945717480219,-0.09732626370003244,18.11573235176463,-1.0849409702581885,-1.8554413367196576,11.310021273470086,0.5631143731069437,0.8953128796329888,18.05927427611482,0.5892309632827785,-1.2128786456886733,2.34493764968568,
1.2136141583286757,-0.44049900582956275,-8.540391341969201,0.8501608356646633,-0.10241890751597871,18.13348771393315,-1.0852315428419428,-1.8501870410477825,11.305522598272777,0.5598606151730201,0.9044611803536752,18.04975289432268,0.5829821969163054,-1.2180071753916732,2.338868286650418,
1.2079764170545435,-0.4401040160148835,-8.540801062764492,0.8497054302827829,-0.10755865702182403,18.151314879161152,-1.085526212047778,-1.8448892118952334,11.30100170703445,0.556625751273225,0.913529160226445,18.040328509523253,0.5767218224874622,-1.2230832562814378,2.3327976505929366,
1.202315289244427,-0.4396679157212686,-8.541212285343917,0.8491253255446016,-0.11274196962146922,18.169213326360758,-1.0858254572419752,-1.83954733603851,11.296458414291747,0.5534100841492362,0.9225180722325775,18.030998314069457,0.5704503182717366,-1.2281066201216502,2.3267256047787095,
1.196630697774685,-0.43919028521442044,-8.541624881277754,0.8484174910503761,-0.11796507853955386,18.187182353663005,-1.0861297673474175,-1.8341608931823175,11.29189253904715,0.5502138778824436,0.9314291371903342,18.021759579942568,0.5641681586816676,-1.233077004246213,2.320652015324886,
1.1909225606998766,-0.43867070157236987,-8.542038716653401,0.84757890540185,-0.12322398679288751,18.205221071215025,-1.0864396409423656,-1.8287293561450433,11.287303905307963,0.5470373604225669,0.9402635441005209,18.012609656139755,0.557875814157207,-1.2379941515834179,2.314576751281676,
1.185190791132903,-0.43810873855216526,-8.54245365195362,0.8466065662705703,-0.12851446210957096,18.223328394710897,-1.0867555863470293,-1.8232521910762305,11.282692342664754,0.5438807259239303,0.9490224505723135,18.003545966127607,0.5515737510584495,-1.2428578106759907,2.3084996847109096,
1.1794352971223072,-0.4375039664504584,-8.542869541930898,0.8454975011530639,-0.13383203294399906,18.24150303980592,-1.08707812169619,-1.8177288577090416,11.278057686911971,0.5407441369050574,0.9577069833157685,17.994566005365673,0.5452624315607572,-1.247667735697041,2.302420690761669,
1.1736559815266228,-0.43685595195777494,-8.543286235477893,0.8442487787586285,-0.13917198573556191,18.259743517565116,-1.0874077749959294,-1.8121588096510106,11.27339978071306,0.5376277262460136,0.966318238689212,17.98566733890411,0.5389423135522808,-1.2524236864619538,2.296339647742942,
1.1678527418856524,-0.4361642580062652,-8.543703575493728,0.8428575209581541,-0.14452936355498913,18.278048131097098,-1.087745084162346,-1.806541494716582,11.268718474313125,0.5345315990367192,0.9748572832912468,17.976847599057304,0.5326138505338873,-1.2571254284362596,2.2902564371932503,
1.162025470288559,-0.4354284436107076,-8.544121398745778,0.8413209152044303,-0.14989896627449265,18.296414973518928,-1.088090597039913,-1.800876355305229,11.264013626301852,0.5314558342883849,0.9833251545884818,17.96810448315502,0.5262774915214986,-1.2617727327395256,2.284170943947158,
1.1561740532386175,-0.4346480637025352,-8.544539535726871,0.8396362273162022,-0.15527535238581391,18.31484192738869,-1.0884448713969526,-1.7951628288292085,11.259285104429818,0.5284004865192172,0.9917228615712543,17.959435751372055,0.519933680950839,-1.2663653761453102,2.2780830561986605,
1.1502983715145088,-0.4338226689566402,-8.544957810507652,0.8378008145003295,-0.1606528425737536,18.333326665728524,-1.0888084748954372,-1.7894003481953282,11.254532786481233,0.5253655872246217,1.000051385430697,17.95083922463578,0.5135828585845881,-1.2709031410772231,2.2719926655613416,
1.1443983000280142,-0.43295180561071184,-8.54537604058369,0.8358121384695195,-0.1660255251316847,18.351866654742818,-1.089181985032074,-1.7835883423453551,11.249756561206421,0.522351146241288,1.0083116802513872,17.9423127826117,0.5072254594219431,-1.2753858156011453,2.2658996671253275,
1.138473707677936,-0.4320350152768448,-8.545794036717234,0.8336677784978292,-0.17138726328002984,18.3704591583121,-1.0895659890473888,-1.7777262368600952,11.244956329317317,0.5193571530137732,1.0165046737146268,17.93385436176558,0.5008619136105656,-1.2798131934136532,2.2598039595109345,
1.132524457200125,-0.4310718347451474,-8.546211602773145,0.8313654442431544,-0.17673170441904446,18.38910124431603,-1.0899610837992033,-1.771813454632415,11.240132004549483,0.516383577771466,1.0246312678081055,17.92546195350124,0.49449264636091456,-1.2841850738266907,2.2537054449190164,
1.1265504050133965,-0.43006179577906223,-8.546628535548937,0.8289029881560614,-0.1820522913140228,18.40778979280627,-1.0903678755966393,-1.7658494166148784,11.235283514794023,0.513430372623193,1.032692339538318,17.917133602372143,0.48811807786294925,-1.2885012617485774,2.2476040291779626,
1.1205514010612343,-0.42900442490211,-8.54704462459832,0.8262784172880694,-0.18734227517497087,18.426521506014065,-1.0907869799904142,-1.7598335426479825,11.230410803303155,0.510497472576103,1.0406887416426251,17.908867404365303,0.48173862320518107,-1.292761567661361,2.2414996217873364,
1.1145272886490265,-0.4278992431757453,-8.547459652048147,0.8234899043105669,-0.19259473055486023,18.445292920140087,-1.091219021514911,-1.7537652523753318,11.225513829972824,0.5075847964849368,1.0486213032983267,17.900661505255297,0.4753546922960638,-1.2969658075946096,2.235392135958102,
1.1084779042767132,-0.4267457659680036,-8.547873392408212,0.8205357975582728,-0.19780257195190049,18.46410041883352,-1.091664633377112,-1.747643966252448,11.220592572706002,0.5046922479372781,1.0564908308265357,17.89251409902655,0.4689666897876928,-1.3011138030956886,2.229281488649443,
1.1024030774665916,-0.4255435027126092,-8.548285612373673,0.8174146299189242,-0.20295857196315714,18.482940248228108,-1.0921244570871245,-1.7414691066562293,11.215647028860213,0.50181971607993,1.06429810838897,17.884423426361618,0.46257501500179543,-1.3052053811965854,2.2231676006021877,
1.0963026305861254,-0.42429195665818187,-8.548696070619565,0.8141251264036335,-0.20805538080061972,18.50180853336424,-1.0925991420246834,-1.7352400991024015,11.210677216782713,0.4989670763911345,1.0720438986761025,17.876387773193397,0.45618006185798543,-1.3092403743773486,2.217050396368738,
1.0901763786655012,-0.422990624607192,-8.54910451758708,0.8106662102501329,-0.2130855469479018,18.520701295789966,-1.0930893449355987,-1.7289563735786513,11.205683177436683,0.496134191402974,1.0797289435853787,17.86840546931858,0.4497822188042542,-1.3132186205262009,2.2109298043396186,
